Name;Age;Food Supply (Days);Water per Day (Liters);First Aid Kits;Antibiotics;Painkillers;Weapons Available;Defensive Structures;Training Level;Radios Available;Access to Reliable Information;Support Groups Available;Entertainment Available
John   ;50;17;2.2;6;5;5;8;2;4;5;No ;Yes;Books
James  ;50;30;2.2;3;2;19;78;1;1;15;Yes;Yes;Books
James  ;50;11;1.7;5;17;5;27;3;4;19;No ;Yes;Games
Michael;50;13;1.7;1;3;44;15;6;0;5;No ;Yes;Games
Olivia ;50;26;4.1;10;10;2;35;6;4;15;No ;No ;Games
Michael;50;23;2.8;9;0;18;50;4;3;14;No ;Yes;Games
Emma   ;50;4;4.9;3;20;12;76;2;4;16;Yes;Yes;Books
Olivia ;50;3;1.9;3;5;26;95;1;0;19;No ;Yes;Books
Jane   ;50;2;2.8;7;14;33;43;6;3;6;No ;Yes;Games
John   ;50;22;3.1;3;5;41;68;10;4;2;No ;Yes;Books
John   ;50;16;2.3;5;7;29;92;3;2;10;Yes;No ;Books
John   ;50;16;4.5;0;13;36;55;6;2;12;No ;Yes;Books
Olivia ;50;25;1.7;8;0;23;40;4;1;8;Yes;No ;Books
Jane   ;50;25;2.8;2;2;5;89;5;3;20;Yes;No ;Games
Emma   ;50;10;1.1;7;3;2;26;8;0;8;Yes;Yes;Games
Michael;50;17;2.4;7;13;20;49;6;1;10;Yes;Yes;Books
John   ;50;11;3.4;7;6;8;57;3;5;19;Yes;Yes;Books
William;50;10;3.5;7;15;24;91;3;0;3;Yes;No ;Games
Jane   ;50;10;4.9;2;2;26;16;4;5;2;No ;Yes;Books
Emma   ;50;2;4.2;3;5;44;41;7;4;9;No ;Yes;Games
Michael;50;20;4.4;5;13;22;91;4;0;16;Yes;Yes;Books
Jane   ;50;8;2.1;10;1;48;82;0;1;5;Yes;No ;Books
John   ;50;29;4.3;3;14;35;48;10;1;13;No ;Yes;Books
Jane   ;51;12;3.1;1;0;0;48;9;4;19;No ;No ;Games
Sophia ;51;2;1.3;8;8;16;66;7;2;13;Yes;Yes;Books
Jane   ;51;16;2;1;7;36;0;2;0;9;No ;Yes;Games
William;51;18;1.2;2;2;39;25;1;5;3;No ;Yes;Books
Sophia ;51;16;5;7;15;30;94;0;2;18;No ;Yes;Games
William;51;10;3.7;4;12;36;48;2;1;6;No ;No ;Books
Emma   ;51;7;2.2;9;14;1;54;5;0;7;Yes;No ;Games
Emma   ;51;25;1.9;0;5;25;19;9;4;4;No ;No ;Books
Michael;51;16;3.7;2;8;46;96;2;3;0;No ;Yes;Games
Olivia ;51;21;3.3;2;6;34;89;4;0;10;Yes;No ;Books
Emma   ;51;0;1.8;10;6;9;65;2;4;4;No ;Yes;Games
James  ;51;23;3.9;1;20;22;28;4;3;14;Yes;No ;Games
Olivia ;51;20;2.8;1;14;1;53;9;0;7;Yes;No ;Games
Emma   ;51;28;2.9;0;12;24;40;2;1;5;No ;Yes;Books
William;51;4;1.8;6;1;6;99;3;4;8;Yes;Yes;Games
Emma   ;51;19;2.8;1;8;27;75;5;0;9;No ;Yes;Games
Emma   ;51;21;3.1;2;2;30;45;8;2;12;No ;Yes;Games
Sophia ;52;29;1.9;7;1;34;100;6;0;5;No ;No ;Books
Olivia ;52;6;1.4;2;2;49;51;1;0;3;Yes;No ;Games
William;52;28;3.8;8;5;13;56;9;1;17;Yes;Yes;Books
Jane   ;52;30;1.5;8;17;37;61;9;2;19;Yes;Yes;Games
John   ;52;21;1.9;4;5;4;73;0;2;4;No ;Yes;Books
Olivia ;52;22;1.4;9;2;35;78;2;2;16;Yes;No ;Books
William;52;0;1.1;9;13;3;76;5;1;14;No ;No ;Books
James  ;52;27;3.6;5;13;5;1;3;4;4;Yes;Yes;Games
John   ;52;16;4.9;9;10;24;96;3;1;6;No ;Yes;Games
Michael;52;3;4.4;3;14;19;69;10;0;13;No ;No ;Books
William;52;30;3.9;2;10;39;25;10;4;11;No ;Yes;Games
James  ;52;9;3.3;0;14;8;79;4;3;4;No ;No ;Games
William;52;12;5;10;0;27;78;8;5;2;Yes;No ;Games
John   ;52;16;4.4;8;16;25;5;4;1;15;No ;Yes;Books
James  ;53;16;4.8;10;14;10;60;4;2;16;No ;No ;Games
Sophia ;53;9;1.5;2;5;30;60;9;0;2;No ;No ;Books
John   ;53;3;1.6;2;0;12;92;10;5;20;No ;Yes;Books
Sophia ;53;12;3.5;1;3;41;69;8;2;18;Yes;Yes;Games
Sophia ;53;6;4.2;6;6;31;96;8;4;5;Yes;No ;Books
Sophia ;53;4;4.4;2;5;24;85;9;3;1;Yes;No ;Games
Emma   ;53;21;4.8;2;12;43;47;9;4;17;Yes;Yes;Books
Sophia ;53;22;2.1;1;1;18;0;3;1;9;Yes;Yes;Books
Michael;53;16;4.4;2;7;30;53;6;3;9;Yes;No ;Games
Olivia ;53;9;2.6;0;5;37;41;0;5;5;Yes;Yes;Books
Sophia ;53;24;1.1;10;15;47;78;7;1;3;Yes;No ;Games
Olivia ;53;1;1.4;7;9;19;57;9;5;9;No ;No ;Books
William;53;23;2.1;3;17;42;74;6;3;15;Yes;Yes;Books
Sophia ;53;9;1.1;2;14;49;98;0;3;4;Yes;No ;Games
Olivia ;53;3;2.4;9;17;0;30;10;5;2;Yes;Yes;Games
Emma   ;53;8;1.7;8;4;40;40;1;3;4;No ;No ;Books
Sophia ;53;10;2.6;3;10;28;43;8;3;11;No ;Yes;Games
Jane   ;53;12;4.4;9;17;37;35;2;4;13;No ;No ;Games
James  ;53;29;3.8;6;1;31;35;1;0;18;No ;Yes;Games
Olivia ;53;1;4.7;6;0;45;77;8;1;16;Yes;Yes;Games
William;54;30;3.7;8;7;46;55;8;2;0;No ;No ;Books
Jane   ;54;26;4;5;13;47;76;2;4;1;No ;No ;Games
Michael;54;4;3.6;5;4;41;94;10;1;4;Yes;Yes;Games
Emma   ;54;15;1.9;9;6;30;71;6;0;1;No ;No ;Books
John   ;54;5;3.4;1;8;27;71;9;3;4;Yes;Yes;Games
John   ;54;24;2.9;0;17;37;86;10;1;3;Yes;No ;Books
James  ;54;25;1.7;2;16;6;68;7;3;14;No ;Yes;Games
Emma   ;54;15;2.2;2;13;5;60;1;0;17;No ;No ;Games
John   ;54;0;1.5;1;6;3;81;3;4;12;No ;No ;Books
Olivia ;54;7;3.7;2;11;40;54;3;2;18;Yes;No ;Games
Michael;54;2;3.4;6;0;23;21;8;1;7;No ;No ;Games
James  ;54;29;4.6;10;20;35;82;3;5;0;Yes;Yes;Books
Jane   ;54;15;4.4;6;6;19;7;1;5;16;No ;No ;Books
William;54;16;4.7;8;4;50;6;10;4;2;No ;No ;Games
Sophia ;54;20;3.2;10;16;14;7;2;1;19;No ;Yes;Games
William;54;27;4.4;2;10;27;35;4;3;11;No ;No ;Games
James  ;54;16;1;1;15;32;57;0;2;0;Yes;No ;Books
Olivia ;54;26;3;7;3;50;11;2;4;15;No ;Yes;Books
John   ;55;18;1.9;9;5;45;97;3;5;13;No ;Yes;Games
Emma   ;55;12;1.1;9;0;24;44;6;1;20;Yes;No ;Games
Michael;55;23;1.6;6;10;32;39;0;1;4;No ;Yes;Books
James  ;55;26;2.7;10;15;14;85;10;2;9;Yes;Yes;Books
James  ;55;19;2.7;0;6;10;94;4;0;20;Yes;No ;Games
Olivia ;55;11;4.5;2;9;11;12;9;4;3;Yes;No ;Games
Emma   ;55;26;2.9;7;13;18;66;7;3;2;Yes;No ;Books
Michael;55;26;4.3;1;10;8;56;0;3;6;No ;No ;Books
James  ;55;10;2.7;5;1;40;34;3;0;0;No ;Yes;Games
Emma   ;55;27;3.8;7;1;41;79;6;3;11;No ;No ;Games
Emma   ;55;24;2.3;0;6;43;52;0;3;16;No ;No ;Games
James  ;55;10;4;8;1;40;96;6;4;5;No ;No ;Books
James  ;55;7;3.3;4;14;17;67;2;2;2;No ;No ;Books
Michael;55;14;1.2;4;13;38;20;10;1;16;No ;No ;Games
Michael;55;28;1.5;3;5;4;42;0;3;8;No ;No ;Games
William;55;18;2.3;10;10;1;34;10;4;9;No ;No ;Books
John   ;55;23;1.6;4;12;21;3;6;5;20;No ;No ;Games
Michael;55;21;2;0;10;25;40;5;4;15;No ;Yes;Books
Sophia ;55;17;1.4;2;14;38;30;0;2;19;Yes;No ;Games
Sophia ;55;7;1.8;9;10;27;4;7;2;17;No ;No ;Books
William;55;12;3.6;10;1;22;16;5;4;17;No ;Yes;Books
Olivia ;55;7;3.7;1;8;49;19;1;2;18;No ;No ;Games
William;56;1;3.6;8;19;40;99;4;3;4;Yes;Yes;Games
John   ;56;2;3.8;5;7;11;66;1;4;0;No ;No ;Books
William;56;26;4.6;10;19;8;54;8;3;20;No ;No ;Books
Emma   ;56;11;3.4;9;5;6;90;8;1;19;No ;No ;Games
Michael;56;10;4;2;0;13;30;4;1;0;Yes;Yes;Books
Sophia ;56;3;3.3;8;17;4;74;6;2;19;Yes;No ;Books
William;56;0;2.3;8;7;15;59;4;3;16;Yes;No ;Books
Sophia ;56;12;3;1;2;45;86;5;3;18;Yes;Yes;Books
Olivia ;56;15;2.8;10;2;30;49;8;1;2;Yes;No ;Games
Olivia ;56;25;3;4;18;45;12;7;2;5;No ;Yes;Games
Jane   ;56;6;2.1;3;19;28;40;4;2;1;No ;Yes;Books
Michael;57;10;3.2;0;3;4;56;4;2;13;Yes;No ;Books
William;57;18;3.4;2;4;20;31;9;0;2;No ;Yes;Books
Jane   ;57;18;2.8;10;15;14;46;5;3;19;Yes;Yes;Games
Emma   ;57;0;3.1;2;1;38;14;0;1;1;No ;Yes;Books
Emma   ;57;27;3.7;10;0;28;38;3;5;13;No ;Yes;Games
Emma   ;57;19;1.5;4;2;34;85;2;0;6;No ;No ;Books
John   ;57;8;4.2;2;0;16;73;6;3;13;No ;No ;Books
Jane   ;57;8;1.7;9;9;1;51;5;5;17;Yes;Yes;Games
James  ;57;23;3.2;6;19;6;7;9;4;19;Yes;No ;Books
William;57;21;4.9;9;16;27;69;10;1;14;No ;Yes;Books
Michael;57;3;4.7;10;11;40;74;7;1;9;Yes;Yes;Games
Jane   ;57;5;4.6;2;9;9;3;10;4;9;Yes;No ;Books
John   ;57;13;3.5;10;18;6;45;5;0;8;Yes;Yes;Games
Emma   ;57;20;3.4;5;19;11;37;3;0;4;Yes;No ;Books
Emma   ;57;0;1.3;1;19;24;80;2;3;5;No ;Yes;Books
James  ;57;9;3.8;3;11;12;89;4;1;19;No ;Yes;Books
Emma   ;57;14;3.9;5;3;6;55;6;5;14;No ;No ;Games
Michael;57;11;1.6;0;13;6;48;6;1;14;No ;No ;Games
Jane   ;57;18;3.4;4;12;44;70;8;2;9;Yes;Yes;Games
James  ;57;0;4.8;7;19;38;4;10;4;17;Yes;Yes;Books
Emma   ;57;8;4.2;7;4;14;4;1;4;16;No ;No ;Games
Sophia ;57;10;1.6;3;4;9;66;7;4;19;No ;No ;Books
Michael;57;1;1.1;0;18;39;60;8;0;19;No ;No ;Games
Emma   ;57;8;3.3;5;17;15;86;3;1;9;No ;No ;Books
James  ;58;3;1.6;1;3;42;92;0;0;2;No ;Yes;Books
Sophia ;58;29;1.3;6;6;29;78;2;1;3;Yes;Yes;Games
Sophia ;58;18;2.7;6;7;5;84;0;1;15;No ;Yes;Games
William;58;30;2.3;8;11;8;1;4;0;18;No ;No ;Books
William;58;1;2.3;5;18;47;5;8;0;4;Yes;No ;Games
Michael;58;16;4.3;3;14;7;94;4;2;14;Yes;Yes;Games
Michael;58;24;1.7;1;17;18;3;6;3;6;Yes;Yes;Games
Michael;58;16;4.8;9;4;32;4;3;5;7;No ;Yes;Books
Emma   ;58;8;4.9;9;17;25;31;10;4;13;Yes;No ;Games
Sophia ;58;29;2.6;7;0;45;77;0;4;5;No ;No ;Games
Olivia ;58;3;3.7;10;9;12;77;6;2;20;Yes;No ;Games
Michael;58;28;1.8;0;8;21;65;1;1;16;Yes;Yes;Books
Emma   ;58;27;5;1;2;44;7;5;0;17;Yes;No ;Books
Emma   ;58;12;3.9;10;4;19;15;5;3;20;No ;No ;Games
Sophia ;58;9;3.6;5;17;49;80;4;2;1;No ;Yes;Games
Michael;58;6;2.9;5;15;13;91;7;1;0;No ;Yes;Books
Sophia ;58;24;3;10;7;37;59;5;4;10;No ;No ;Books
Jane   ;58;6;2.2;10;19;40;60;9;0;15;No ;No ;Books
Michael;58;8;4.4;9;15;23;77;3;5;6;Yes;No ;Games
Jane   ;58;12;2.8;0;20;34;13;6;5;15;No ;No ;Books
James  ;58;2;3.8;7;18;27;8;6;1;16;Yes;No ;Games
Emma   ;58;23;3.5;4;10;16;62;2;5;10;No ;Yes;Games
Sophia ;59;21;2.2;2;12;14;35;1;5;17;No ;No ;Books
John   ;59;17;3.4;4;16;23;32;9;0;8;No ;Yes;Games
Michael;59;28;2.5;4;15;49;57;1;1;4;Yes;Yes;Books
Sophia ;59;3;3.3;4;7;40;47;5;5;18;Yes;No ;Games
Emma   ;59;7;4.3;3;15;20;38;2;5;2;Yes;Yes;Books
Sophia ;59;15;1.4;9;1;1;25;0;5;19;No ;No ;Games
James  ;59;14;4.5;3;14;18;67;6;4;15;Yes;No ;Games
Emma   ;59;16;4.5;8;0;34;91;5;4;15;No ;Yes;Games
John   ;59;11;3.5;5;16;20;57;6;2;19;No ;No ;Books
James  ;59;8;4.7;1;5;0;18;10;3;19;Yes;Yes;Games
Olivia ;59;12;4.1;5;18;33;56;6;1;16;Yes;Yes;Games
James  ;59;10;4.2;10;16;38;15;10;2;18;No ;No ;Books
James  ;59;0;1.7;10;8;20;55;6;4;12;Yes;No ;Books
Sophia ;59;14;2.5;9;13;22;85;2;0;10;Yes;No ;Games
William;59;6;3.5;10;2;30;41;4;0;7;No ;No ;Games
Emma   ;59;17;3;5;13;11;51;6;3;13;No ;Yes;Books
Olivia ;59;7;4.6;3;7;0;45;7;1;4;No ;No ;Books
Sophia ;59;8;1.6;1;7;6;14;6;1;1;No ;No ;Games
Jane   ;59;20;1.5;2;9;46;82;8;5;0;No ;Yes;Books
Michael;59;14;4.3;10;13;2;77;7;3;19;No ;Yes;Games
Michael;59;16;4.4;1;19;31;37;8;0;4;No ;Yes;Books
Olivia ;59;12;3.4;5;0;35;45;10;5;4;Yes;Yes;Books
James  ;59;24;4.8;8;1;22;10;1;0;8;No ;No ;Games
William;59;8;2.1;10;17;41;34;9;1;7;Yes;Yes;Games
Emma   ;59;18;1.6;1;0;49;37;2;4;14;No ;Yes;Games
Jane   ;59;25;2.8;2;5;6;61;1;5;18;No ;No ;Games
Michael;59;13;3.5;4;20;45;97;0;5;4;No ;No ;Books
John   ;59;26;4.3;6;7;29;98;6;4;3;Yes;No ;Books
Emma   ;59;15;2.7;0;1;11;20;6;4;5;Yes;Yes;Books
Michael;59;10;1.6;1;4;19;11;1;3;7;Yes;Yes;Books
John   ;59;7;2.8;7;3;10;79;7;3;20;Yes;No ;Books
Olivia ;59;12;2.1;1;8;25;7;0;2;0;Yes;No ;Books
Jane   ;59;23;2.8;3;14;24;32;5;0;3;Yes;Yes;Books
Michael;60;4;2.3;9;12;17;50;9;3;19;No ;Yes;Games
Jane   ;60;27;3.1;0;8;5;48;9;0;19;Yes;Yes;Books
Jane   ;60;7;4.6;6;16;1;95;9;3;12;No ;No ;Games
Emma   ;60;22;1.7;1;8;16;4;8;0;0;Yes;No ;Games
James  ;60;2;3.8;1;16;16;40;5;5;10;No ;No ;Games
William;60;3;2.1;7;11;17;51;2;4;12;Yes;No ;Games
Jane   ;60;18;4.5;4;4;0;30;2;4;19;No ;No ;Books
Emma   ;60;19;1.1;1;16;38;23;0;3;0;No ;Yes;Books
William;60;21;2;5;20;16;9;2;0;11;Yes;No ;Books
Emma   ;60;20;3.5;1;17;36;93;9;2;1;No ;Yes;Games
Olivia ;60;26;4.3;6;16;44;30;3;5;0;Yes;No ;Games
John   ;60;26;1.1;2;10;22;84;7;0;12;No ;Yes;Games
Michael;60;14;1.5;0;14;29;73;7;4;5;No ;Yes;Books
Emma   ;60;13;1.2;3;4;1;0;10;3;2;No ;Yes;Games
John   ;60;20;3.6;6;5;1;7;6;5;15;Yes;Yes;Games
Emma   ;60;18;1.7;6;16;24;49;1;5;4;Yes;Yes;Games
